species,isolate,type,site,dt_test,id_test,rep_isolate,condition,rep_test,time,c0_dose,c0_obs,conc_n0,detect,time_notdetect,stay_notdetect,impute,conc_nt,survival,lnS
EkA,16-041,clinical,blood,2017-10-10,1,no,test,1,0.25,0.2,0.16,25777777.7777778,1,0.5,detect,none,31.3131313131313,1.21473354231975e-06,-13.6209858119557
EkA,16-041,clinical,blood,2017-10-10,1,no,test,2,0.25,0.2,0.16,25777777.7777778,1,0.5,detect,none,323.232323232323,1.25391849529781e-05,-11.2866520206471
EkA,16-041,clinical,blood,2017-10-10,1,no,test,2,1,0.2,0.16,25777777.7777778,1,0.5,revert,none,3.33333333333333,1.29310344827586e-07,-15.8610505479684
EkA,16-041,clinical,blood,2017-10-10,1,no,test,3,0.25,0.2,0.16,25777777.7777778,1,0.5,detect,none,333.333333333333,1.29310344827586e-05,-11.2558803619803
EkA,16-042,clinical,blood,2017-10-14,2,no,test,2,0.25,0.2,0.22,16888888.8888889,1,0.5,detect,none,1521.52152152152,9.00900900900901e-05,-9.31470038730042
EkA,16-042,clinical,blood,2017-10-14,2,no,test,3,0.25,0.2,0.22,16888888.8888889,1,0.5,detect,none,156565.656565657,0.00927033492822966,-4.68093576971945
EkA,16-044,clinical,blood,2017-10-18,3,no,test,1,0.25,0.2,0.21,24888888.8888889,1,1,detect,none,1777777.77777778,0.0714285714285714,-2.63905732961526
EkA,16-044,clinical,blood,2017-10-18,3,no,test,1,0.5,0.2,0.21,24888888.8888889,1,1,detect,none,35.3535353535354,1.42045454545455e-06,-13.4645336351402
EkA,16-044,clinical,blood,2017-10-18,3,no,test,2,0.25,0.2,0.21,24888888.8888889,1,1,detect,none,2244444.44444444,0.0901785714285714,-2.40596344744788
EkA,16-044,clinical,blood,2017-10-18,3,no,test,2,0.5,0.2,0.21,24888888.8888889,1,1,detect,none,3.33333333333333,1.33928571428571e-07,-15.8259592281572
EkA,16-044,clinical,blood,2017-10-18,3,no,test,3,0.25,0.2,0.21,24888888.8888889,1,1,detect,none,2622222.22222222,0.105357142857143,-2.25039933982348
EkA,16-044,clinical,blood,2017-10-18,3,no,test,3,0.5,0.2,0.21,24888888.8888889,1,1,detect,none,6868.68686868687,0.000275974025974026,-8.1952038054654
EkA,17-336,envr,sink,2018-02-02,4,no,test,1,0.25,0.2,0.22,10222222.2222222,1,,detect,none,400.4004004004,3.91696043869957e-05,-10.1476095102355
EkA,17-336,envr,sink,2018-02-02,4,no,test,1,0.5,0.2,0.22,10222222.2222222,1,,detect,none,49.0490490490491,4.79827653740697e-06,-12.2472537592329
EkA,17-336,envr,sink,2018-02-02,4,no,test,1,1,0.2,0.22,10222222.2222222,1,,detect,none,13.3333333333333,1.30434782608696e-06,-13.5498073922313
EkA,17-336,envr,sink,2018-02-02,4,no,test,2,0.25,0.2,0.22,10222222.2222222,1,,detect,none,480.480480480481,4.70035252643948e-05,-9.96528795344157
EkA,17-336,envr,sink,2018-02-02,4,no,test,2,0.5,0.2,0.22,10222222.2222222,1,,detect,none,1570.15701570157,0.000153602316753414,-8.78114365433441
EkA,17-336,envr,sink,2018-02-02,4,no,test,2,1,0.2,0.22,10222222.2222222,1,,detect,none,21.021021021021,2.05640423031727e-06,-13.0945516196201
EkA,17-336,envr,sink,2018-02-02,4,no,test,3,0.25,0.2,0.22,10222222.2222222,1,,detect,none,565.656565656566,5.53359683794466e-05,-9.8020874380944
EkA,17-336,envr,sink,2018-02-02,4,no,test,3,0.5,0.2,0.22,10222222.2222222,1,,detect,none,51.0510510510511,4.99412455934195e-06,-12.2072484246192
EkA,17-336,envr,sink,2018-02-02,4,no,test,3,1,0.2,0.22,10222222.2222222,1,,detect,none,188.888888888889,1.84782608695652e-05,-10.898915604969
EkA,17-337,envr,sink,2018-02-20,5,no,test,1,0.25,0.2,0.22,10222222.2222222,1,,detect,none,18618.6186186186,0.0018213866039953,-6.30815719764222
EkA,17-337,envr,sink,2018-02-20,5,no,test,1,0.5,0.2,0.22,10222222.2222222,1,,detect,none,2192.19219219219,0.000214453584018801,-8.44741723453297
EkA,17-337,envr,sink,2018-02-20,5,no,test,1,1,0.2,0.22,10222222.2222222,1,,detect,none,252.525252525253,2.4703557312253e-05,-10.6085633039613
EkA,17-337,envr,sink,2018-02-20,5,no,test,2,0.25,0.2,0.22,10222222.2222222,1,,detect,none,89898.9898989899,0.00879446640316205,-4.73363257310932
EkA,17-337,envr,sink,2018-02-20,5,no,test,2,0.5,0.2,0.22,10222222.2222222,1,,detect,none,5050.50505050505,0.000494071146245059,-7.61283103040736
EkA,17-337,envr,sink,2018-02-20,5,no,test,2,1,0.2,0.22,10222222.2222222,1,,detect,none,5.05050505050505,4.94071146245059e-07,-14.5205863093895
EkA,17-337,envr,sink,2018-02-20,5,no,test,3,0.25,0.2,0.22,10222222.2222222,1,,detect,none,85858.5858585859,0.00839920948616601,-4.77961768635114
EkA,17-337,envr,sink,2018-02-20,5,no,test,3,0.5,0.2,0.22,10222222.2222222,1,,detect,none,108.080808080808,1.05731225296443e-05,-11.4571953873617
EkA,17-337,envr,sink,2018-02-20,5,no,test,3,1,0.2,0.22,10222222.2222222,1,,detect,none,47.4747474747475,4.64426877470356e-06,-12.2798766201135
EkA,ATCC,stock,atcc,2017-05-19,6,no,test,1,0.25,0.2,0.22,15111111.1111111,1,1,detect,none,125.125125125125,8.2803391626921e-06,-11.7016266287282
EkA,ATCC,stock,atcc,2017-05-19,6,no,test,1,0.5,0.2,0.22,15111111.1111111,1,1,detect,none,115.115115115115,7.61791202967673e-06,-11.7850082376673
